name,category,phone,email,website,address,notes
Thiel Insurance Group LLC,insurance,(920) 739-6241,,,"122 W. Kimberly Ave, Kimberly WI 54136",Kimberly-based insurance; local community supporter
Amanda Aspland State Farm Agency,insurance,(920) 766-2670,,amandaaspland.com,"111 Plank Road Ste 120, Kaukauna WI 54130",State Farm agent in Kaukauna; natural sponsor demographic
Josh Carter State Farm Agency,insurance,(920) 722-4277,,,"1108 Breezewood Ln, Neenah WI 54956",State Farm agent in Neenah; natural sponsor demographic
Bradley Insurance,insurance,(920) 251-4969,,,"N1678 Municipal Dr, Greenville WI 54942",Greenville insurance agency; local business supporter
Van De Hey Financial Services,financial,(920) 766-9988,,,"311 E. Ann Street Ste 2, Kaukauna WI 54130",Kaukauna financial services; natural sponsor demographic
Dreyer Wealth Management,financial,(920) 380-7056,,,"331 E Washington St, Appleton WI 54911",Appleton wealth management; high-value sponsor prospect
Edward Jones - Kaukauna,financial,(920) 766-9425,,,"141 Wisconsin Avenue, Kaukauna WI 54130",National brand with local Kaukauna advisor; reliable sponsor
Bank of Kaukauna,financial,(920) 766-4674,,,"264 W. Wisconsin Avenue, Kaukauna WI 54130",Community bank in Kaukauna; strong local ties
BLC Community Bank,financial,(920) 788-4141,,,"206 E. Main Street, Little Chute WI 54140",Community bank in Little Chute; dedicated to local communities
East Wisconsin Savings Bank,financial,(920) 766-4646,,,"109 W. Second Street, Kaukauna WI 54130",Local savings bank in Kaukauna; community-oriented
Nicolet National Bank,financial,(920) 729-6901,,,"550 S. Green Bay Road, Neenah WI 54956",Regional bank with Fox Valley presence; reliable sponsor
Prospera Credit Union,financial,(920) 882-4792,,,"4830 N. Ballard Road, Appleton WI 54913",Credit union in Appleton; community financial institution
Kamps Certified Public Accountant,financial,(920) 687-8833,,,"200 W. Elm Drive Ste A, Little Chute WI 54140",Local CPA in Little Chute; small business sponsor prospect
Kaukauna Clinic S.C.,healthcare,(920) 766-4656,,,"305 E. Twelfth Street, Kaukauna WI 54130",Primary care clinic in Kaukauna; BBS cause alignment
Aurora Health Care - Kaukauna,healthcare,(920) 766-3200,,,"1500 Arbor Way, Kaukauna WI 54130",Major healthcare system with Kaukauna location; BBS cause alignment
Orthopedic & Spine Therapy,healthcare,(920) 759-9075,,,"One Bank Avenue, Kaukauna WI 54130",Kaukauna orthopedic practice; sports medicine angle for golf event
Orthopedic & Sports Institute of the Fox Valley,healthcare,(920) 560-1000,,,"2105 E Enterprise Ave, Appleton WI 54913",Sports medicine institute; natural alignment with golf event
Fox Valley Dental Center,healthcare,(920) 731-7717,,foxvalleydentalcenter.com,"2214 E. Evergreen Dr., Appleton WI 54913",Appleton dental center; healthcare cause alignment
Kaukauna Family Dentistry,healthcare,(920) 766-9542,,,"233 Dodge Street, Kaukauna WI 54130",Family dentist in Kaukauna; local healthcare sponsor
Clear Approach Optometry,healthcare,(920) 372-2555,,,"1901 Crooks Ave Ste C, Kaukauna WI 54130",Eye care in Kaukauna; healthcare sponsor prospect
Kimberly Eye Clinic,healthcare,(920) 733-0919,,,"919 W Kennedy Ave Ste A, Kimberly WI 54136",Eye clinic in Kimberly; healthcare cause alignment
Stone Chiropractic,healthcare,(920) 462-0912,,mystonechiropractic.com,"Kaukauna WI",Kaukauna chiropractic office; wellness and healthcare alignment
Wisconsin Institute of Plastic Surgery,healthcare,(920) 380-9890,,,"4100 N. Lightning Drive, Appleton WI 54913",Appleton surgical practice; high-value healthcare sponsor
Keller Inc.,construction,(920) 766-5795,,kellerbuilds.com,"N216 State Highway 55, Kaukauna WI 54130",Employee-owned design-build contractor in Kaukauna; strong local employer
Fox Structures Inc.,construction,(920) 766-9305,info@foxstructures.com,foxstructures.com,"2201 E Line Road, Kaukauna WI",40+ years in Kaukauna; agricultural/commercial/residential contractor
360 Construction,construction,(920) 585-1895,todd.360construction@gmail.com,360builds.com,"N4327 Serenity Ridge Ct., Freedom WI 54130",Premier Fox Valley custom home builder; Freedom-based
Tom McHugh Construction,construction,(920) 540-1167,,tmbuilds.com,"2190 American Dr, Neenah WI 54956",Fox Valley custom home builder since 2008; strong local reputation
Kingdom Roofing,construction,(920) 404-5760,,,"26 Thistle Down Ct, Appleton WI 54915",Appleton roofing contractor; local trades business
Kampo Electric,construction,(920) 730-8556,,,"W5081 Amy Avenue, Kaukauna WI 54130",Kaukauna electrical contractor; local trades supporter
Keith Petersen Plumbing,construction,(920) 687-9272,,,"1600 Hamilton Court, Little Chute WI 54140",Little Chute plumber; local trades business
Century 21 Ace Realty,realestate,(920) 428-0021,,c21ace.com,"303 S. Bluemound Drive, Appleton WI 54914",#1 Real Estate Office in Fox Valley 12 consecutive years; high-profile sponsor
Mau Realty Inc.,realestate,(920) 766-3700,,,"311 E. Ann Street Ste 1, Kaukauna WI 54130",Kaukauna-based realty; strong local market knowledge
NAI Pfefferle,realestate,(920) 968-4700,,,"200 E. Washington Street, Appleton WI 54911",Commercial real estate in Appleton; business sponsor prospect
Curran Real Estate LLC,realestate,(920) 840-8558,,,"180 W Wisconsin Ave., Kaukauna WI 54130",Kaukauna real estate; local community ties
Think Hallmark Real Estate,realestate,(920) 702-0123,,,"2324 W Spencer Street, Appleton WI 54914",Appleton real estate firm; local sponsor prospect
Beiser Realty LLC,realestate,(920) 582-4011,,,"4321 W. College Ave Suite 200, Appleton WI 54914",Appleton realty firm; reliable sponsor demographic
Cardinal Realty LLC,realestate,(920) 268-8209,,,"1047 N. Lynndale Ave. Ste 2A, Appleton WI 54914",Appleton real estate; local business community
Tusler Law,legal,(920) 749-0400,,tuslerlaw.com,"Appleton WI",Personal injury/real estate attorney; nationally recognized trial lawyer
Emro Law LLC,legal,,,emrolaw.com,"Kaukauna WI",Estate planning and business law; Heart of Valley Chamber member
Fox River Law LLC,legal,(920) 364-0326,,foxriverlaw.com,"1703 S Oneida St Suite C, Appleton WI 54915",Family law and criminal defense; full-service local firm
Herrling Clark Law Firm,legal,(920) 739-7366,,herrlingclark.com,"800 N Lynndale Dr, Appleton WI 54914",Established Appleton firm; personal injury/business/estate law
McCarty Law LLP,legal,(920) 882-4070,,mccartylaw.com,"2401 E Enterprise Ave, Appleton WI 54913",Business and estate planning law; Fox Cities Chamber member
Femal's Auto Body,auto,(920) 731-5631,,femalsautobody.com,"200 E. Northland Avenue, Appleton WI 54911",Fox Valley's largest independent auto body shop; established local business
Sprangers Auto Body Repair,auto,(920) 788-5965,,sprangersauto.com,"N2429 CR-N, Appleton WI 54913",Local independent auto body; personal service focus
Action Auto Service,auto,,,,"Kaukauna WI",Kaukauna auto repair specialist since 1999; strong local ties
DC Auto Repair LLC,auto,,,dc-auto.com,"W5463 County Road KK, Appleton WI 54915",Independent Appleton auto repair since 2009; community-minded
Kurz Industrial Solutions,manufacturing,(920) 886-8200,,,"1325 McMahon Drive, Neenah WI 54956",Neenah-based industrial manufacturer; Fox Valley employer
Mid Valley Industries,manufacturing,,,mvii.com,"1151 Delanglade St, Kaukauna WI",Precision machining in Kaukauna; local manufacturer and employer
Performance Machine & Manufacturing,manufacturing,,,performancemach.com,"Kaukauna WI",CNC machining and fabrication in Kaukauna; local manufacturer
Bel Brands USA,manufacturing,(920) 312-2891,,,"1500 E North Ave, Little Chute WI 54140",Major food manufacturer in Little Chute; large local employer
Simon's Specialty Cheese,retail,(920) 788-6311,,,"2735 Freedom Road, Appleton WI 54913",Iconic Wisconsin cheese shop; great for gift basket donations
Vanderloop Shoes Inc.,retail,(920) 788-1061,,,"127 E. Main Street, Little Chute WI 54140",Local Little Chute shoe store; longstanding community business
Ken's Sports of Kaukauna,retail,(920) 788-0220,,,"W2520 County Road JJ, Kaukauna WI 54130",Local sporting goods in Kaukauna; golf and outdoors alignment
Weld and Arrow,retail,(920) 740-7124,,,"123 E 2nd Street, Kaukauna WI 54130",Unique Kaukauna retail; downtown business supporter
Fox Valley Coin & Diamonds Etc.,retail,(920) 731-5451,,,"103 E. Kimberly Avenue, Kimberly WI 54136",Kimberly jewelry and coin shop; auction item donation prospect
Haen Meat Packing,retail,(920) 766-3239,,,"600 County Road KK, Kaukauna WI 54130",Local Kaukauna meat packing; in-kind donation prospect (gift boxes)
